Notes,Source,Année,St Colomban,Raynaud,Gorblaou,Camari,Beasse
Original non numérisé,État des âmes Beasse (site Beasse),1718,#N/A,#N/A,#N/A,#N/A,27
"> 12 ans uniquement
Lieux-dits non mentionnés",Recensement revolutionnaire,1801,103,7,#N/A,#N/A,#N/A
"Total sur Lantosque : 247, Luceram non disponible",Recensement RF,1861,121,0,49,77,#N/A
Original non numérisé,Recensement RF (site Beasse),1866,#N/A,#N/A,#N/A,#N/A,64
Luceram non disponible,Recensement RF,1872,121,0,40,69,#N/A
Total sur Lantosque : 196,Recensement RF,1881,61,0,49,86,44
Total sur Lantosque : 177,Recensement RF,1886,70,0,48,59,41
"Total sur Lantosque : 241, erreur sur le total ?",Recensement RF,1891,76,0,39,58,47
,Recensement RF,1896,78,0,46,64,45
,Recensement RF,1901,83,0,42,68,51
Total sur Lantosque : 198,Recensement RF,1906,95,0,43,60,44
Que les communiés ?,État des âmes St Col,1910,82,0,51,47,43
Que les communiés ?,État des âmes St Col,1911,83,0,50,43,43
Total sur Lantosque : 206,Recensement RF,1911,101,0,44,61,42
Que les communiés ?,État des âmes St Col,1912,82,0,47,42,44
Que les communiés ?,État des âmes St Col,1913,79,0,47,42,47
Que les communiés ?,État des âmes St Col,1914,75,0,45,41,42
Que les communiés ?,État des âmes St Col,1915,71,0,42,40,41
Que les communiés ?,État des âmes St Col,1916,67,0,42,41,41
Que les communiés ?,État des âmes St Col,1917,70,0,41,37,40
Que les communiés ?,État des âmes St Col,1918,72,0,39,37,39
Que les communiés ?,État des âmes St Col,1919,65,0,37,39,33
Que les communiés ?,État des âmes St Col,1920,66,0,35,41,33
Que les communiés ?,État des âmes St Col,1921,,0,34,38,33
Total sur Lantosque : 193,Recensement RF,1921,88,0,32,73,42
Que les communiés ?,État des âmes St Col,1922,65,0,34,39,33
"Lieux-dits non mentionnés, tout dans St Col",Recensement RF,1926,180,0,#N/A,#N/A,35
"Lieux-dits non mentionnés, tout dans St Col",Recensement RF,1931,155,0,#N/A,#N/A,35
"Lieux-dits non mentionnés, tout dans St Col",Recensement RF,1936,136,0,#N/A,#N/A,27
Original non numérisé,Recensement RF (vesubian),1946,94,,,,
Original non numérisé,Recensement RF (vesubian),1954,73,,,,
Original non numérisé,Recensement RF (vesubian),1962,68,,,,
Original non numérisé,Recensement RF (vesubian),1968,46,,,,
Original non numérisé,Recensement RF (vesubian),1976,32,,,,
Original non numérisé,Recensement RF (vesubian),1984,25,,,,
Original non numérisé,Recensement RF (vesubian),1992,22,,,,
